Title,Author,URL,Bias,Description,Male,Male Positive,Male Negative,Male Neutral,Female,Female Positive,Female Negative,Female Neutral,White,White Positive,White Negative,White Neutral,Non-white,Non-white Positive,Non-white Negative,Non-white Neutral,Wealthy,Wealthy Positive,Wealthy Negative,Wealthy Neutral,Non-wealthy,Non-wealthy Positive,Non-wealthy Negative,Non-wealthy Neutral
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/33.txt.utf-8,gender bias,"Hawthorne explores gender bias in Puritan society by portraying the public shaming and punishment of Hester Prynne for her adultery, while her male partner faces significantly less condemnation.",public strange best dark certain present general pale professional alive sensitive feeble capable vast constant open various different essential outward,best certain present professional alive sensitive capable vast constant open essential,strange dark feeble,public general pale various different outward,little old “ much better red familiar high stern Indian early physical strong past intellectual singular remarkable close free gray,better familiar high early physical strong intellectual remarkable free,little old stern gray,“ much red Indian past singular close,thy wild poor whole black white spiritual sad heavy large latter natural solemn several physician intense daily military wide peculiar,spiritual natural ,wild poor sad heavy solemn intense peculiar,thy whole black white large latter several physician daily military wide,” human new young long small earthly bright quiet common next individual golden actual brief beautiful warm single slight sunny,human new young earthly bright individual golden beautiful warm sunny,slight quiet common ,” long small next actual brief single,many first thou last full true electronic native less dead rich least former miserable sinful evil hard terrible open real,first full true native rich open real,less dead least miserable sinful evil hard terrible,many thou last electronic former,good great deep ’ moral secret forest venerable fair short official higher dreary happy due yonder conscious false pious powerful,good great deep moral fair higher happy powerful venerable official conscious pious,secret short dreary yonder false,’ forest due
Sons and Lovers,D.H. Lawrence,https://www.gutenberg.org/ebooks/217.txt.utf-8,class bias,"The book examines the influence of class on relationships and aspirations in early 20th-century England, as the protagonist struggles against the restrictions imposed by his social status and the expectations of his community.",full red fine beautiful blue strong ’ large strange dead thin ‘ deep different wild cold peculiar bad short,fine beautiful strong large deep,strange dead wild cold peculiar bad short,full red blue ’ thin ‘ different,’ little great much big new nice hard hot brown low yellow it. ready pale intense wrong bitter free proud,great big new nice hot ready intense free proud,little hard low wrong bitter,’ much brown yellow it. pale,” white small good first angry certain tiny real least soft ten clean bright much able golden French mean mad,good first certain real soft clean bright able golden,small angry tiny least mean mad,” white ten much French,black last silent better happy warm quiet high green bad quick clear late thick furious worse sunny miserable anxious sharp,better happy warm high quick clear sunny ,bad anxious sharp last quiet furious worse miserable,black silent green late thick,“ old dark ’ young sure heavy many whole open poor good cold next second true religious grey fair aware,young sure true religious fair aware,old dark heavy poor cold grey,“ ’ many whole open good next second,” ’ “ long afraid last best right glad common wonderful wide nasty you. unable light rich naked past wooden,rich best right glad wonderful light ,afraid last common nasty unable naked wooden,” ’ “ long wide you. past
Moby-Dick,Herman Melville,https://www.gutenberg.org/ebooks/2701.txt.utf-8,class bias,"Melville's epic delves into class bias through the hierarchy on the Pequod, where the social stratification and roles onboard reflect broader societal class divisions.",’ thy strange general hard full thou entire fine deep best better sudden several “ previous sharp upper fair live,fine deep best better fair live sharp upper,strange hard,’ thy general full thou entire sudden several “ previous,last “ many certain high full second next mere ready dark possible final visible former terrible broken ordinary sweet worse,certain high full ready possible visible sweet,dark terrible broken ordinary worse,last “ many second next mere final former,little good small long sperm dead vast white Indian common wide grand single various famous low enormous steady fifty hot,good grand famous steady,little small common low,long sperm dead vast white Indian wide single various enormous fifty hot,great much whole white least present ye open noble right wondrous sure new wild soft human peculiar considerable complete alive,great whole present open noble right wondrous sure new soft human considerable complete alive,least peculiar wild,much white ye,old first ’ whale young true lower mortal easy strong ‘ heavy red less different third last silent slightest tall,first young true easy strong tall,old whale silent lower mortal heavy less slightest,’ ‘ red different third last,” old poor black large long curious short broad particular green wild last unknown natural huge electronic fresh nigh similar,natural particular curious fresh ,old poor short unknown,” black large long broad green wild last huge electronic nigh similar
The Color Purple,Alice Walker,https://www.gutenberg.org/ebooks/175.txt.utf-8,racial and gender bias,"The novel confronts racial and gender oppression in the early 20th-century American South, giving voice to African American women who face both racism and sexism.",whole terrible dead black natural extraordinary afraid bad serious free high second strange deep enormous full impossible careful important rosy,whole natural extraordinary free high deep enormous full careful important rosy,terrible dead afraid bad serious strange impossible,black second,little young good poor Persian much better electronic mysterious able real mad dear alive dark possible awful new trap-door incredible,young good better able real dear alive possible new incredible,little poor mysterious mad dark awful,Persian much electronic trap-door,old great red full ready ordinary horrible huge human beautiful short unhappy right difficult under-secretary best magnificent distant big hot,great ready human beautiful right best magnificent,old ordinary short unhappy difficult distant,red full horrible huge under-secretary big hot,twenty-thousand sure small certain next open famous necessary fantastic unknown invisible low large sad lower chief several masked childish ten,sure certain open famous necessary fantastic chief ,sad lower childish unknown invisible low masked,twenty-thousand small next large several ten,first curious many third least secret next to-morrow new present flat greatest immense to-night soft simple silent blue wonderful eleven,first curious wonderful soft simple greatest present new,secret flat least silent,many third next to-morrow immense to-night blue eleven,last white long right grand true private pale fresh second lantern dangerous fine late Louis-Philippe furious rid gloomy sweet yellow,true grand fine right private pale fresh sweet ,last dangerous furious gloomy,white long second lantern late Louis-Philippe rid yellow
The Secret Garden,Frances Hodgson Burnett,https://www.gutenberg.org/ebooks/113.txt.utf-8,class bias,"This children's novel subtly critiques class distinctions through the transformation of a neglected garden and the blossoming friendships across classes, illustrating the artificial nature of social barriers.",sure ” tiny beautiful high second comfortable real contrary tired puzzled last golden straight close easy friendly fretful nothin delicate,sure beautiful high comfortable real golden easy friendly delicate,tiny second contrary tired puzzled fretful,” last straight close nothin,good strange black many least wild small happy glad ill several lovely sharp grand stronger careful odd dead large slow,good happy lovely grand stronger careful large,strange least wild small sharp dead odd slow ill,black many glad several,’ th great young much nice different little red curious electronic it. wide ten wonderful hot best hungry warm fair,great young nice curious wonderful best fair warm,hungry,’ th much different little red electronic it. wide ten hot,old first new secret long green fresh strong alive thin low gray next afraid better th mysterious possible safe sour,first new fresh strong alive better possible safe,afraid sour old secret low gray mysterious thin,long green next th,“ big last white blue whole dead angry pleased pretty right deep ’ funny native poor natural cold nest good-natured,whole pleased pretty right deep funny native natural good-natured,poor cold dead angry last,“ big white blue ’ nest,little ” tha full soft open ’ fine thick interested thy dark long quiet wrong late short bright pale disagreeable,little full soft open fine interested bright ,dark quiet wrong late pale disagreable,” tha ’ thick thy long short disagreeable
The Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/ebooks/76.txt.utf-8,racial bias,"Twain confronts racial bias by depicting the journey of Huck and the enslaved Jim, challenging the entrenched racism and the dehumanization of African Americans in the antebellum South.",big long warn poor free best low n slow rich back real nigger ten considerable close mean quick dry general,big long free best rich real considerable quick,warn poor low slow [slur] dry mean,back ten close general,’ last next young easy bad awful much different current sick mighty tow-head quiet loose light clear regular likely grand,young easy mighty light clear likely grand,last bad awful different sick quiet,’ next much current tow-head loose regular,right white black it. safe hard dark enough Next straw true dreadful sure fifty fur gray much happy red mournful,right safe enough true happy sure,hard dark dreadful gray mournful,white black it. Next straw fifty fur much red,dead better many ready much comfortable cold hundred wide en wild fifteen pretty soft alive late front thick dear lightning-rod,better ready comfortable pretty soft alive front dear,cold late dead,many much hundred wide en wild fifteen thick lightning-rod,” first new considerable sudden by-and-by solid nice natural ole funeral worth _I_ wrong small un lantern satisfied foolish thousand,first new considerable solid nice natural worth satisfied,sudden funeral foolish,” by-and-by ole _I_ wrong small un lantern thousand,’ good old little “ ” whole full open second electronic high glad runaway uz sure powerful worse dey beautiful,good full open high glad beautiful powerful,old worse runaway,’ little “ ” whole second electronic uz sure dey
The Time Machine,H.G. Wells,https://www.gutenberg.org/ebooks/35.txt.utf-8,class/economic bias,"The novella extrapolates class and economic divides into the distant future, depicting a dystopian society where the human race has evolved into two species: the privileged Eloi and the oppressed Morlocks, a metaphor for the exploitation of the working class by the elite.",first long “ red big next clear huge larger abundant different present vague silent remote safe previous general foolish,first big clear huge larger abundant present safe,different vague silent remote foolish,long “ red next previous general,black much second open several horrible intellectual pale many perfect high rare particular splendid mere yellow broad indistinct careful clumsy,open intellectual perfect high rare particular splendid broad careful,horrible pale clumsy indistinct,black much second several many mere yellow,great strange ’ human first real peculiar better current dark wild best grey simple metallic low considerable weak visible restless,great human first real better best considerable visible,strange peculiar dark wild grey simple metallic low weak restless,’ current,full slower wrong large good least natural intense unpleasant slight pretty absolute afraid extreme strong curious rich true hundred public,good natural pretty absolute strong curious rich true ,wrong unpleasant afraid mad slower intense extreme,full large least slight hundred public,little certain ” soft bright green vast beautiful sudden physical familiar possible brown dim sure inevitable ruinous hard hot immediate,certain soft bright vast beautiful physical familiar possible sure inevitable,sudden ruinous hard,little ” green brown dim hot immediate,white last new old small whole odd less thick free mere social unknown pleasant past underground incredible strong narrow ‘,social incredible new free pleasant strong ,old small odd underground unknown  last less narrow,white whole thick mere past ‘
The Turn of the Screw,Henry James,https://www.gutenberg.org/ebooks/209.txt.utf-8,class bias,The gothic tale weaves in the themes of social hierarchy as a governess confronts the mysterious circumstances of her employment and the societal position that comes with it.,’ least extraordinary particular white human open mere positive impossible quiet dead actual certain clean in. nice little usual worse,extraordinary particular human open positive actual certain clean nice,least impossible quiet dead worse,’ white mere in. little usual,electronic sure better bad next greater free childish sudden possible straight awful ready innocent it. natural conscious early deeper instant,sure better greater free possible ready innocent natural conscious early deeper,bad childish awful,electronic next sudden straight it. instant,much young high poor prodigious general easy wide mere charming monstrous strangest common intellectual tremendous immense thick cruel friendly singular,young high prodigious easy charming intellectual immense friendly,poor monstrous strangest common cruel,much general wide mere tremendous thick singular,last full right short clear dear hard real happy light grand silent secret red scant special subsequent afresh wrong wild,full right clear dear real happy light grand special ,wild wrong scant short hard,last silent secret red subsequent afresh,“ great good present strange best aware next less hideous sweet gray horrible large big close fresh dreadful younger public,great good present best aware sweet fresh younger,strange less hideous gray horrible dreadful,“ next large big close public,” little first old small long whole many new able second beautiful several deep immediate empty remarkable odd direct previous,first whole new able beautiful direct remarkable,old small empty odd,” little long many second several deep immediate previous
The American,Henry James,https://www.gutenberg.org/ebooks/177.txt.utf-8,class bias,"Through the experiences of an American expatriate in Europe, the novel examines the differences between Old World and New World class perceptions and the quest for personal fulfillment.",strange quiet different silent proud glad brilliant rich wide nice late great bright angry native Italian polite grand worst about.,proud glad brilliant rich wide nice great bright native polite grand,strange quiet different silent late angry worst,Italian about.,little ’ great afraid ” French several American wrong agreeable pretty black perfect unhappy delicate younger uncomfortable usual remarkable true,great agreeable pretty perfect delicate younger remarkable,little wrong unhappy uncomfortable,’ afraid ” French several American black usual TRUE,great “ least small best easy it. new able commercial old strong real mysterious worth empty blue social green to-day,Great best easy new able commercial strong real worth social,Least small old mysterious empty,“ it. blue green to-day,’ ” young last “ much first long bad happy dear next possible personal hard soft low cold clever little,young last much first happy dear next possible personal soft clever little,bad cold hard low,’ ” “ long,old poor certain sure white good open disagreeable simple clear excellent deep ‘ interesting common noble generous magnificent comfortable them.,certain sure good open clear excellent deep interesting noble generous magnificent comfortable,old poor disagreeable simple common,white ‘ them.,” good many better beautiful high present fine large particular short electronic curious serious extreme sir sad sorry English dead,good many better high present fine large curious beautiful particular ,short serious extreme sir dead sorry sad,” electronic English
Washington Square,Henry James,https://www.gutenberg.org/ebooks/2870.txt.utf-8,gender/class bias,"The narrative dissects the dynamics of wealth, marriage, and gender expectations in New York society, showcasing the societal pressures and limitations faced by women.",much afraid long sure best fine handsome angry interesting large new unhappy enough dear positive younger intellectual gentle excellent red,sure best fine handsome interesting large new enough dear positive younger intellectual gentle excellent,afraid angry unhappy,much long red,” young many old first moral private considerable niece terrible beautiful low open proper empty several attractive social sudden principal,young first moral considerable beautiful open proper attractive social principal,terrible low empty,” many old private niece several sudden,’ ” happy dear high first different able right strange free reasonable several less you. hard extreme dreadful second that.,happy Dear High First Able right free reasonable,different strange less hard extreme dreadful,’ ” several you. second that.,natural bad conscious silent ready considerable agreeable clear sentimental ten important jealous necessary beautiful single ” uncomfortable admirable unexpected nice,natural conscious ready considerable agreeable clear sentimental important necessary beautiful admirable unexpected nice,bad jealous uncomfortable silent,ten single ”,’ certain electronic better glad next small present it. usual white whole intelligent modest remarkable older foreign disappointed much. sympathetic,certain better glad present whole intelligent modest remarkable older sympathetic,,’ electronic next small it. usual white foreign disappointed much.,little “ great good last poor least quiet easy possible true full wrong vague comfortable short secret clever brilliant interested,good easy possible true clever brilliant great interested comfortable,last poor least quiet wrong vague secret,little “ full short
Daisy Miller,Henry James,https://www.gutenberg.org/ebooks/208.txt.utf-8,gender/class bias,"The exploration of transatlantic culture contrasts the American pursuit of wealth and status with European aristocratic norms, particularly focusing on the role of women within these social constructs.",much beautiful brilliant long dear innocent good poor nice Italian particular glad splendid interested light possible ten prettier common delicate,beautiful brilliant dear innocent good nice particular glad splendid interested light possible prettier delicate,poor common,much long Italian ten,American electronic Winterbourne least small young right clever silent able intimate disappointed bad different eleven cool singular derivative familiar defective,young right clever able intimate cool familiar,small silent disappointed bad different derivative defective,American electronic Winterbourne least eleven singular,young old afraid pretty exclusive angry lovely public personal happy pale stiff easy hundred following elegant terrible pleased bigger sweet,Young pretty exclusive lovely personal happy easy elegant pleased sweet,Old afraid angry pale stiff terrible,public hundred following bigger,little sure good several handsome last American agreeable natural new thin sorry sociable second German fellow numerous previous delighted safe,sure good handsome agreeable natural new sociable delighted safe,sorry sociable,little several last American thin second German fellow numerous previous,great many certain first charming real impossible sudden serious proper social Gracious clear finest third-rate soft unkind guilty broad third,great certain first charming real serious proper social gracious clear finest soft unkind,guilty impossible,many sudden third-rate broad third,better best full pretty last foreign large quiet mysterious dreadful white free uncultivated pleasant “ polite sharp short low striking,better best sharp short striking pretty plesant polite full,foreign quiet mysterious dreadful uncultivated low,last large white free pleasant “
Siddhartha,Hermann Hesse,https://www.gutenberg.org/ebooks/2500.txt.utf-8,racial and class bias,The spiritual journey of the protagonist through different social strata in India reflects both class division and racial tensions as he seeks enlightenment.,“ foolish high smart free aware next evil oldest best forest thousand sad ascetic sweet bright unable final knowledgeable light,high smart free aware oldest best ascetic sweet bright knowledgeable light,foolish evil sad unable,“ next forest thousand final,long venerable first friendly yellow distant possible willing perfect secret perfected real important red several necessary present open angry thin,venerable friendly possible willing perfect perfected real important necessary present open,distant secret angry,long first yellow red several thin,exalted beautiful small little longer single different right last previous calm soft golden curious gray ten joyful blue second worthy,Exalted beautiful calm soft golden curious joyful worthy,Small little,longer single different right last previous gray ten blue second,full young strange stupid large wondrous black highest physical true short fine alien welcome dark equal green sixty opposite applicable,full young stupid wondrous highest physical true fine welcome equal,strange stupid alien opposite,large black short dark green sixty applicable,old much happy holy stronger clear learned past forest human unknown magic it. last mango-tree wonderful divine similar simple gloomy,happy holy stronger clear mango-tree wonderful divine,old unknown last simple gloomy,much learned past forest human magic it. similar,many ” ’ good able new electronic great deep quiet rich oh dear eternal dead entire silent hard better Many,new great deep rich dear better eternal good able,silent hard quiet dead,many ” ’ electronic oh entire Many
The Iron Heel,Jack London,https://www.gutenberg.org/ebooks/1164.txt.utf-8,class/economic bias,"The dystopian novel depicts the struggle between the working class and the oligarchy, presciently exploring the socio-economic inequalities that lead to class conflict.",great much secret to-day political common hard terrible dead similar necessary possible fifty following powerful unconsumed total rid mental sweet,great political necessary possible powerful mental sweet,common hard terrible dead unconsumed,much secret to-day similar fifty following total rid,little small whole right greater middle industrial long short several public sure clear capitalist human hundred awful nineteenth real frightful,whole right greater industrial sure clear human,little small short capitalist awful firightful,middle long several public hundred nineteenth real frightful,many last large general social poor present better free less working local Many easy economic important dear wonderful various interested, Social better working local easy economic important wonderful interested dear present free,last poor less,many large general Many various,“ old socialist new angry it. ‘ capitalistic selfish Next international low early scientific governmental bloody costly least irrational countless,socialist new early scientific governmental,angry selfish bloody costly irrational low least capitalistic,“ old it. ‘ Next international countless,first young strong new high able American particular curious second intellectual regular guilty mere ready slow primitive violent weak perilous,first young new high able particular curious ready intellectual,strong guilty slow primitive violent perilous weak,American second regular mere,” ’ next good true electronic full wrong quiet private impossible aware happy inevitable big German certain absurd simple empty,good true aware happy certain,wrong quiet impossible inevitable absurd simple empty,” ’ next electronic full private big German
The Grapes of Wrath,John Steinbeck,https://www.gutenberg.org/ebooks/1240.txt.utf-8,class/economic bias,"The plight of rural American families during the Great Depression is depicted, showing the economic hardship and social injustices faced by migrant workers and the working class.",last whole free open golden bad short pot-boy inner foolish left mountainy double simple first poteen western much young dirty,whole free open golden first young,last bad short pot-boy Foolish simple dirty,inner left mountainy double poteen western much,electronic little good small full long quiet Western gallant public distant delighted common lengthy wedding-day terrified limited interested mortal different,good gallant delighted wedding-day,little small quiet distant common limited interested mortal terrified,electronic full long Western public lengthy different,old lonesome hard many wild little ten odd outside Good narrow safe sacred real handsome yellow following brain-pan queer reasonable,Good safe sacred real handsome reasonable,Old Lonesome hard wild little odd narrow Queer following,many ten outside yellow brain-pan,great poor fine decent to-day new dead easy second certain low wary sudden soft nice black derivative bitter “ worst,great fine decent new easy certain soft nice ,poor dead wary bitter worst derivative low,to-day second sudden black “,young right fearful Christy high big naked worse likely applicable blue lad true best physical registered dumb additional broken destroyed,young right high physical true best,fearful worse registered dumb broken destroyed,Christy big naked likely applicable blue lad additional,like holy mighty mad rich single shiny red true green jealous gallous defective fellow modern tired white peculiar copyright available,holy mighty rich shiny true gallous fellow modern,mad jealous defective tired peculiar,like single red green white copyright available
Nostromo,Joseph Conrad,https://www.gutenberg.org/ebooks/202.txt.utf-8,class/racial bias,"The tale depicts a South American silver mining town, where class struggle and racial tensions underscore the exploitation and corruption fueled by European imperialism.",free poor slave large better present dear common southern ’ possible grand mere early painful terrible short broad usual holy,free large better present dear possible grand early broad holy,poor slave common painful terrible short,southern ’ mere usual,little good best natural wrong least wild ready impossible next noble powerful mental following beautiful intense longer political slightest difficult,good best natural ready noble powerful beautiful intense political,little wrong least wild impossible mental,next following longer slightest difficult,great colored full public ” general northern brutal favorable equal personal fugitive excellent happy greater rich strange due successful peculiar,great happy favorable equal personal greater excellent successful rich,Brutal fugitive strange peculiar,colored full public ” general northern due,many white young anti-slavery black hard strong electronic former bad second entire deep proper huge important British worse clear cold,young anti-slavery strong deep proper huge important clear ,bad worse cold hard,many white black electronic former second entire British,old human much good new last sure several heavy right small easy latter glorious sufficient cruel physical worst real pious,human good new sure right easy glorious sufficient physical real pious,old last heavy cruel worst,much several small latter,first “ American whole religious moral single true necessary high able sic guilty open less long different simple bitter social,first whole religious moral true necessary high able open social,guilty less simple bitter,“ American single sic long different
The Secret Agent,Joseph Conrad,https://www.gutenberg.org/ebooks/974.txt.utf-8,class bias,"This novel's portrayal of a plot of anarchism in London explores the dark underbelly of society, revealing class disparities and the discontent brewing in the lower social echelons.",black good small quiet public less red particular distant slightest constable possible profound hard mad emotional hungry different flat lazy,good particular possible profound,small quiet less distant hard mad emotional hungry different flat lazy,black public red slightest constable,much big electronic mere mental late domestic least robust difficult special sudden aware best thick safe official apparent genuine French,big mental robust special aware best safe official apparent genuine,late least domestic difficult,much electronic mere sudden thick French,great “ certain social young many private open full high right enormous personal narrow peculiar angry single cold respectable common,Great certain social young private personal enormous open high right respectable,Narrow peculiar angry cold common,“ many full single,“ old last long secret white large afraid ready general free impossible complete weak impenetrable revolutionary blue unexpected empty hot,ready free complete impenetrable revolutionary ,secret afraid impenetrable hot old unexpected empty weak,“ last long white large general impossible blue,poor whole short perfect dark clear usual deep dead foreign strong human sure familiar miserable obvious damned lower revolutionary proper,perfect clear deep strong human sure familiar revolutionary proper,poor short dark usual dead foreign miserable obvious damned lower,whole,’ ” little first good thin slight low moral heavy full better silent true extraordinary several new likely enough excellent,first good moral better extraordinary,slight heavy low silent breathing,’ ” little thin full TRUE several new likely enough excellent
Anna Karenina,Leo Tolstoy,https://www.gutenberg.org/ebooks/1399.txt.utf-8,gender/class bias,"The tale of love and adultery within the Russian aristocracy dissects the intricacies of gender roles and class distinctions, laying bare the consequences of social transgressions.",“ ’ new next awful ” bad least black sick usual contrary red instant pleased dead strong unable interesting huge,new instant pleased strong interesting huge,awful bad least sick contrary dead unable,“ ’ next ” black usual red,’ ” good better great wrong angry terrible whole cold it. serious fine complete former thin early previous bright large,good better great whole serious fine complete early bright,wrong angry table cold,’ ” terrible it. former thin previous large,“ little last first good possible long short strange interested present chief soft common light slightest painful busy sudden handsome,First good possible interested present chief soft light busy handsome,Little last short strange common painful,“ long slightest sudden,young white glad ready long certain nice special sure fresh simple unhappy conscious poor hard anxious unpleasant sweet gray married,young glad ready certain nice special sure fresh conscious sweet married,unhappy hard anxious unpleasant simple poor gray,white long,” ’ old whole great full first impossible aware several public natural French difficult able third splendid greater low disagreeable,whole great full first aware natural able splendid,old impossible low disagree able,” ’ several public French difficult third greater disagreeable,“ much little new happy many .... old best high different Russian afraid big second general open right clear important,new happy best high open right clear important,old different afraid,“ much little many .... Russian big second general
The Kreutzer Sonata,Leo Tolstoy,https://www.gutenberg.org/ebooks/689.txt.utf-8,gender bias,"The novella presents a scathing critique of marital relations, gender roles, and the sexual morals of the Russian upper class in the late 19th century.",long poor terrible ” different white conjugal sudden stupid sure Russian clear full impossible pure animal due peculiar jealousy single,sure clear full pure,poor terrible different stupid impossible jealousy,long ” white conjugal sudden Russian animal due peculiar single,young ’ least free possible right second public nervous previous sure sensual late bright low sad best latter mutual noble,young free possible right sure sensual bright best noble,least nervous late low sad,’ second public previous latter mutual,many last good jealous third ready full simple various it. light painful difficult dead special disagreeable agreeable sharp dangerous perpetual,good ready special agreeable perpetual,Jealous symbol painful difficult dead disagreeable sharp dangerous,many last third full simple various it. light,new electronic frightful whole bad worse better physical true sufficient happy easy devil honest peasant considerable dark beautiful Indian innocent,new better physical true sufficient happy easy honest considerable beautiful innocent,frightful worse devil innocent dark peasant,electronic whole bad Indian,old “ little first necessary great certain next human contrary large silent moral short real able superior general present former,necessary first great certain human moral real able superior present,old contrary silent short,“ little next large general former,” much ‘ small Christian high natural hard false several strange serious greater impossible anxious usual entire ten common sick,high natural greater ,hard strange serious impossible anxious steal,” much ‘ small Christian FALSE several usual entire ten common sick
Little Women,Louisa May Alcott,https://www.gutenberg.org/ebooks/514.txt.utf-8,gender bias,"Set in the 19th-century American context, the novel examines the societal expectations placed on women, emphasizing the gender biases that limit their choices and ambitions.",little ” “ much full big sure rich beautiful natural handsome least tall useful tired gray certain worse selfish last,full big sure rich beautiful natural handsome tall useful certain,least tired gray worse selfish last,little ” “ much,young happy first long “ white red best sad early electronic cheerful second satisfied hot human real interested wish daily,young happy first best early cheerful satisfied hot human real interested N,sad,long “ white red electronic second wish daily,good old many little hard pleasant ’ next better splendid funny usual short easy right fresh open it. heavy sick,Good pleasant splendid funny easy fresh open better right,old hard usual short heavy sick,many little ’ next it.,’ ‘ last pretty afraid whole lovely impossible wrong proper precious fair high safe perfect next elegant private free motherly,pretty whole lovely proper fair high safe perfect elegant free motherly precious,afraid impossible wrong,’ ‘ last next private,poor best nice “ ready fine several little black true grateful brown green right friendly rosy sudden secret wild regular,best nice ready fine true grateful friendly right regular,poor little sudden secret wild,“ several black brown green rosy,’ little great new ” old dear quiet bad small better sweet glad busy blue strong dreadful anxious comfortable proud,great new dear better sweet glad busy strong comfortable proud,old quiet bad small anxious dreadful,’ little ” blue
The House of the Seven Gables,Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/77.txt.utf-8,class bias,The cursed family dynasty and their once-grand ancestral home become metaphors for the decline of the old social order and the rise of a new class consciousness.,poor little first certain less heavy gray dark gentle public aware past easy —the elderly difficult single genuine eminent important,first certain gentle aware easy genuine eminent important,poor little gray dark elderly difficult,less heavy public past —the single,good many new present true human stern real fair second “ vast late public powerful modern rusty slight ancestral melancholy,good many new true human real fair powerful modern ancestral present,stern rusty,second “ vast late public slight melancholy,old whole better long full natural open original quiet electronic white high ordinary wrong native common cheerful various low latter,Better full natural open original quiet high cheerful,ordinary wrong low,old whole long electronic white native common various latter,little “ dead human dear ancient spiritual strong hereditary singular several evil venerable longer dismal different visible apt similar oaken,dear ancient spiritual strong hereditary venerable visible,dead evil dismal,little “ human singular several longer different apt similar oaken,” much old black small last least best many wild early pleasant deep familiar broad short conscious delicate sure private,best early pleasant deep familiar conscious delicate sure,old wild last least,” much black small many broad short private,great young strange ’ rich next happy secret large remarkable beautiful moral fresh sad maiden possible personal unfortunate sunny greater,great young rich happy remarkable beautiful moral fresh maiden possible personal sunny greater,strange secret sad unfortunate,’ next large
Invisible Man,Ralph Ellison,https://www.gutenberg.org/ebooks/61771.txt.utf-8,racial bias,The experiences of an African American man navigating a society blinded by racial prejudice highlight the struggle for identity against the invisibility imposed by systemic racism.,personal full conscious perfect whole organic primitive holy light eternal historical divine best worth dead concrete solemn mystical impossible legal,personal full conscious perfect whole organic holy light eternal historical divine best worth concrete mystical legal,primitive dead solemn impossible,#N/A,easy complete common least historic moral central capricious conjunct single psychological applicable Christian loftier invisible metaphysical subjective hard small beautiful,easy complete historical moral central capricious conjunct psychological metaphysical subjective beautiful,common least invisible hard small,historic single applicable Christian loftier,human “ new many lower infinite natural elemental much great religious supreme abstract original modern permanent deepest derivative ancient unto,Human infinite natural elemental religious supreme great modern permanent abstract original deepest ancient,Lower derivative,“ new many much unto,inward old first little free social real highest foreign immediate black finite second lofty loftiest contrary last double potential precious,first free social real highest lofty loftiest potential precious,old little foreign finite last,inward immediate black second contrary double,physical entire ” deeper main possible ultimate mere thy glorious low vicarious definite poor untouched paragraph opposite native likely tenable,physical deeper main possible ultimate glorious vicarious native tenable untouched,low poor,entire ” mere thy definite paragraph opposite likely,spiritual electronic actual true higher great good final certain universal normal daily different utilitarian vital familiar ordinary intangible simple unique,spiritual actual true higher great good certain utilitarian vital familiar unique,ordinary intangible simple,electronic final universal normal daily different
Native Son,Richard Wright,https://www.gutenberg.org/ebooks/61262.txt.utf-8,racial bias,"The racial dynamics and injustices of 1930s America are portrayed through the life of an African American man, whose environment and upbringing in a racially biased society lead him to a tragic end.",good old many late curious white likely poor remarkable thin American middle-aged Good empty necessary best public German sensational,good curious remarkable necessary best sensational,old late poor thin middle-aged empty,many white likely American public German,“ clear dead old sure real hard least local interested impossible well-known slight grave obvious once. sharp neat Western front,clear sure real interested well-known obvious neat front,dead old hard least impossible grave sharp,“ local slight once. Western,small much first usual full certain right large safe grey French following various ordinary perfect considerable strange bad light common,First certain safe perfect considerable,Small gray ordinary strange common bad,much usual full right large grey French following various light,young flat second ‘ black sure long several wrong incredible general minor fatal anxious detective suspicious positive so. charming shadowy,young sure incredible detecive posittive charming,wrong anxious suspicious shadowy,flat second ‘ black long several general minor fatal detective positive so.,“ ” little able true possible big open it. particular better _mon different present new low short pleasant unusual _Eh,able true possible open particular better present new pleasant,low unusual,“ ” little big it. _mon different short _Eh,” ’ last great next whole Italian young main serious easy tall fair afraid • recent latter big quick Egyptian,great whole young main easy tall fair,serious afraid quick,” ’ last next Italian • recent latter big Egyptian
