Title,Author,URL,Bias,Description,Male,Male Positive,Male Negative,Male Neutral,Female,Female Positive,Female Negative,Female Neutral,White,White Positive,White Negative,White Neutral,Non-white,Non-white Positive,Non-white Negative,Non-white Neutral,Wealthy,Non-wealthy
The Turn of the Screw,Henry James,https://www.gutenberg.org/ebooks/209.txt.utf-8,class bias,The gothic tale weaves in the themes of social hierarchy as a governess confronts the mysterious circumstances of her employment and the societal position that comes with it.,’ least extraordinary particular white human open mere positive impossible quiet dead actual certain clean in. nice little usual worse,extraordinary particular human open positive actual certain clean nice,least impossible quiet dead worse,’ white mere in. little usual,electronic sure better bad next greater free childish sudden possible straight awful ready innocent it. natural conscious early deeper instant,sure better greater free possible ready innocent natural conscious early deeper,bad childish awful,electronic next sudden straight it. instant,much young high poor prodigious general easy wide mere charming monstrous strangest common intellectual tremendous immense thick cruel friendly singular,young high prodigious easy charming intellectual immense friendly,poor monstrous strangest common cruel,much general wide mere tremendous thick singular,last full right short clear dear hard real happy light grand silent secret red scant special subsequent afresh wrong wild,last full right short clear dear hard real happy light grand silent secret red scant special subsequent afresh wild,afresh wrong,#N/A,“ great good present strange best aware next less hideous sweet gray horrible large big close fresh dreadful younger public,” little first old small long whole many new able second beautiful several deep immediate empty remarkable odd direct previous
The American,Henry James,https://www.gutenberg.org/ebooks/177.txt.utf-8,class bias,"Through the experiences of an American expatriate in Europe, the novel examines the differences between Old World and New World class perceptions and the quest for personal fulfillment.",strange quiet different silent proud glad brilliant rich wide nice late great bright angry native Italian polite grand worst about.,proud glad brilliant rich wide nice great bright native polite grand,strange quiet different silent late angry worst,Italian about.,little ’ great afraid ” French several American wrong agreeable pretty black perfect unhappy delicate younger uncomfortable usual remarkable true,great agreeable pretty perfect delicate younger remarkable,little wrong unhappy uncomfortable,’ afraid ” French several American black usual TRUE,great “ least small best easy it. new able commercial old strong real mysterious worth empty blue social green to-day,Great best easy new able commercial strong real worth social,Least small old mysterious empty,“ it. blue green to-day,’ ” young last “ much first long bad happy dear next possible personal hard soft low cold clever little,young last much first long bad happy dear next possible personal hard soft low cold clever little,bad cold,’ ” “,old poor certain sure white good open disagreeable simple clear excellent deep ‘ interesting common noble generous magnificent comfortable them.,” good many better beautiful high present fine large particular short electronic curious serious extreme sir sad sorry English dead
Washington Square,Henry James,https://www.gutenberg.org/ebooks/2870.txt.utf-8,gender/class bias,"The narrative dissects the dynamics of wealth, marriage, and gender expectations in New York society, showcasing the societal pressures and limitations faced by women.",much afraid long sure best fine handsome angry interesting large new unhappy enough dear positive younger intellectual gentle excellent red,sure best fine handsome interesting large new enough dear positive younger intellectual gentle excellent,afraid angry unhappy,much long red,” young many old first moral private considerable niece terrible beautiful low open proper empty several attractive social sudden principal,young first moral considerable beautiful open proper attractive social principal,terrible low empty,” many old private niece several sudden,’ ” happy dear high first different able right strange free reasonable several less you. hard extreme dreadful second that.,happy Dear High First Able right free reasonable,different strange less hard extreme dreadful,’ ” several you. second that.,natural bad conscious silent ready considerable agreeable clear sentimental ten important jealous necessary beautiful single ” uncomfortable admirable unexpected nice,natural bad conscious silent ready considerable agreeable clear sentimental ten important jealous necessary beautiful single admirable unexpected nice,bad jealous uncomfortable nice,”,’ certain electronic better glad next small present it. usual white whole intelligent modest remarkable older foreign disappointed much. sympathetic,little “ great good last poor least quiet easy possible true full wrong vague comfortable short secret clever brilliant interested
Daisy Miller,Henry James,https://www.gutenberg.org/ebooks/208.txt.utf-8,gender/class bias,"The exploration of transatlantic culture contrasts the American pursuit of wealth and status with European aristocratic norms, particularly focusing on the role of women within these social constructs.",much beautiful brilliant long dear innocent good poor nice Italian particular glad splendid interested light possible ten prettier common delicate,beautiful brilliant dear innocent good nice particular glad splendid interested light possible prettier delicate,poor common,much long Italian ten,American electronic Winterbourne least small young right clever silent able intimate disappointed bad different eleven cool singular derivative familiar defective,young right clever able intimate cool familiar,small silent disappointed bad different derivative defective,American electronic Winterbourne least eleven singular,young old afraid pretty exclusive angry lovely public personal happy pale stiff easy hundred following elegant terrible pleased bigger sweet,Young pretty exclusive lovely personal happy easy elegant pleased sweet,Old afraid angry pale stiff terrible,public hundred following bigger,little sure good several handsome last American agreeable natural new thin sorry sociable second German fellow numerous previous delighted safe,little sure good several handsome last American agreeable natural new thin sociable second German fellow numerous previous delighted safe,sorry sociable,#N/A,great many certain first charming real impossible sudden serious proper social Gracious clear finest third-rate soft unkind guilty broad third,better best full pretty last foreign large quiet mysterious dreadful white free uncultivated pleasant “ polite sharp short low striking
Siddhartha,Hermann Hesse,https://www.gutenberg.org/ebooks/2500.txt.utf-8,racial and class bias,The spiritual journey of the protagonist through different social strata in India reflects both class division and racial tensions as he seeks enlightenment.,“ foolish high smart free aware next evil oldest best forest thousand sad ascetic sweet bright unable final knowledgeable light,high smart free aware oldest best ascetic sweet bright knowledgeable light,foolish evil sad unable,“ next forest thousand final,long venerable first friendly yellow distant possible willing perfect secret perfected real important red several necessary present open angry thin,venerable friendly possible willing perfect perfected real important necessary present open,distant secret angry,long first yellow red several thin,exalted beautiful small little longer single different right last previous calm soft golden curious gray ten joyful blue second worthy,Exalted beautiful calm soft golden curious joyful worthy,Small little,longer single different right last previous gray ten blue second,full young strange stupid large wondrous black highest physical true short fine alien welcome dark equal green sixty opposite applicable,full young strange stupid large wondrous black highest physical true short fine alien welcome dark equal green sixty opposite,strange stupid alien opposite,applicable,old much happy holy stronger clear learned past forest human unknown magic it. last mango-tree wonderful divine similar simple gloomy,many ” ’ good able new electronic great deep quiet rich oh dear eternal dead entire silent hard better Many
The Iron Heel,Jack London,https://www.gutenberg.org/ebooks/1164.txt.utf-8,class/economic bias,"The dystopian novel depicts the struggle between the working class and the oligarchy, presciently exploring the socio-economic inequalities that lead to class conflict.",great much secret to-day political common hard terrible dead similar necessary possible fifty following powerful unconsumed total rid mental sweet,great political necessary possible powerful mental sweet,common hard terrible dead unconsumed,much secret to-day similar fifty following total rid,little small whole right greater middle industrial long short several public sure clear capitalist human hundred awful nineteenth real frightful,whole right greater industrial sure clear human,little small short capitalist awful firightful,middle long several public hundred nineteenth real frightful,many last large general social poor present better free less working local Many easy economic important dear wonderful various interested, Social better working local easy economic important wonderful interested dear present free,last poor less,many large general Many various,“ old socialist new angry it. ‘ capitalistic selfish Next international low early scientific governmental bloody costly least irrational countless,old socialist new angry capitalistic selfish next international low early scientific governmental bloody costly least irrational countless,angry selfish bloody costly irrational,“ it. ‘,first young strong new high able American particular curious second intellectual regular guilty mere ready slow primitive violent weak perilous,” ’ next good true electronic full wrong quiet private impossible aware happy inevitable big German certain absurd simple empty
The Grapes of Wrath,John Steinbeck,https://www.gutenberg.org/ebooks/1240.txt.utf-8,class/economic bias,"The plight of rural American families during the Great Depression is depicted, showing the economic hardship and social injustices faced by migrant workers and the working class.",last whole free open golden bad short pot-boy inner foolish left mountainy double simple first poteen western much young dirty,whole free open golden first young,last bad short pot-boy Foolish simple dirty,inner left mountainy double poteen western much,electronic little good small full long quiet Western gallant public distant delighted common lengthy wedding-day terrified limited interested mortal different,good gallant delighted wedding-day,little small quiet distant common limited interested mortal terrified,electronic full long Western public lengthy different,old lonesome hard many wild little ten odd outside Good narrow safe sacred real handsome yellow following brain-pan queer reasonable,Good safe sacred real handsome reasonable,Old Lonesome hard wild little odd narrow Queer following,many ten outside yellow brain-pan,great poor fine decent to-day new dead easy second certain low wary sudden soft nice black derivative bitter “ worst,great poor fine decent new dead easy second certain low wary sudden soft nice black derivative bitter worst,poor dead wary bitter worst,to-day “,young right fearful Christy high big naked worse likely applicable blue lad true best physical registered dumb additional broken destroyed,like holy mighty mad rich single shiny red true green jealous gallous defective fellow modern tired white peculiar copyright available
Nostromo,Joseph Conrad,https://www.gutenberg.org/ebooks/202.txt.utf-8,class/racial bias,"The tale depicts a South American silver mining town, where class struggle and racial tensions underscore the exploitation and corruption fueled by European imperialism.",free poor slave large better present dear common southern ’ possible grand mere early painful terrible short broad usual holy,free large better present dear possible grand early broad holy,poor slave common painful terrible short,southern ’ mere usual,little good best natural wrong least wild ready impossible next noble powerful mental following beautiful intense longer political slightest difficult,good best natural ready noble powerful beautiful intense political,little wrong least wild impossible mental,next following longer slightest difficult,great colored full public ” general northern brutal favorable equal personal fugitive excellent happy greater rich strange due successful peculiar,great happy favorable equal personal greater excellent successful rich,Brutal fugitive strange peculiar,colored full public ” general northern due,many white young anti-slavery black hard strong electronic former bad second entire deep proper huge important British worse clear cold,many white young anti-slavery black hard strong electronic former bad second entire deep proper huge important British worse clear cold,anti-slavery bad worse cold,#N/A,old human much good new last sure several heavy right small easy latter glorious sufficient cruel physical worst real pious,first “ American whole religious moral single true necessary high able sic guilty open less long different simple bitter social
The Secret Agent,Joseph Conrad,https://www.gutenberg.org/ebooks/974.txt.utf-8,class bias,"This novel's portrayal of a plot of anarchism in London explores the dark underbelly of society, revealing class disparities and the discontent brewing in the lower social echelons.",black good small quiet public less red particular distant slightest constable possible profound hard mad emotional hungry different flat lazy,good particular possible profound,small quiet less distant hard mad emotional hungry different flat lazy,black public red slightest constable,much big electronic mere mental late domestic least robust difficult special sudden aware best thick safe official apparent genuine French,big mental robust special aware best safe official apparent genuine,late least domestic difficult,much electronic mere sudden thick French,great “ certain social young many private open full high right enormous personal narrow peculiar angry single cold respectable common,Great certain social young private personal enormous open high right respectable,Narrow peculiar angry cold common,“ many full single,“ old last long secret white large afraid ready general free impossible complete weak impenetrable revolutionary blue unexpected empty hot,old last long secret white large afraid ready general free impossible complete weak impenetrable revolutionary blue unexpected empty hot,secret afraid impenetrable hot,“,poor whole short perfect dark clear usual deep dead foreign strong human sure familiar miserable obvious damned lower revolutionary proper,’ ” little first good thin slight low moral heavy full better silent true extraordinary several new likely enough excellent
Anna Karenina,Leo Tolstoy,https://www.gutenberg.org/ebooks/1399.txt.utf-8,gender/class bias,"The tale of love and adultery within the Russian aristocracy dissects the intricacies of gender roles and class distinctions, laying bare the consequences of social transgressions.",“ ’ new next awful ” bad least black sick usual contrary red instant pleased dead strong unable interesting huge,new instant pleased strong interesting huge,awful bad least sick contrary dead unable,“ ’ next ” black usual red,’ ” good better great wrong angry terrible whole cold it. serious fine complete former thin early previous bright large,good better great whole serious fine complete early bright,wrong angry table cold,’ ” terrible it. former thin previous large,“ little last first good possible long short strange interested present chief soft common light slightest painful busy sudden handsome,First good possible interested present chief soft light busy handsome,Little last short strange common painful,“ long slightest sudden,young white glad ready long certain nice special sure fresh simple unhappy conscious poor hard anxious unpleasant sweet gray married,young white glad ready long certain nice special sure fresh simple unhappy conscious poor hard anxious unpleasant sweet gray married,unhappy hard anxious unpleasant,#N/A,” ’ old whole great full first impossible aware several public natural French difficult able third splendid greater low disagreeable,“ much little new happy many .... old best high different Russian afraid big second general open right clear important
The Kreutzer Sonata,Leo Tolstoy,https://www.gutenberg.org/ebooks/689.txt.utf-8,gender bias,"The novella presents a scathing critique of marital relations, gender roles, and the sexual morals of the Russian upper class in the late 19th century.",long poor terrible ” different white conjugal sudden stupid sure Russian clear full impossible pure animal due peculiar jealousy single,sure clear full pure,poor terrible different stupid impossible jealousy,long ” white conjugal sudden Russian animal due peculiar single,young ’ least free possible right second public nervous previous sure sensual late bright low sad best latter mutual noble,young free possible right sure sensual bright best noble,least nervous late low sad,’ second public previous latter mutual,many last good jealous third ready full simple various it. light painful difficult dead special disagreeable agreeable sharp dangerous perpetual,good ready special agreeable perpetual,Jealous symbol painful difficult dead disagreeable sharp dangerous,many last third full simple various it. light,new electronic frightful whole bad worse better physical true sufficient happy easy devil honest peasant considerable dark beautiful Indian innocent,new electronic frightful whole bad worse better physical true sufficient happy easy devil honest peasant considerable dark beautiful Indian innocent,frightful worse devil innocent,#N/A,old “ little first necessary great certain next human contrary large silent moral short real able superior general present former,” much ‘ small Christian high natural hard false several strange serious greater impossible anxious usual entire ten common sick
Little Women,Louisa May Alcott,https://www.gutenberg.org/ebooks/514.txt.utf-8,gender bias,"Set in the 19th-century American context, the novel examines the societal expectations placed on women, emphasizing the gender biases that limit their choices and ambitions.",little ” “ much full big sure rich beautiful natural handsome least tall useful tired gray certain worse selfish last,full big sure rich beautiful natural handsome tall useful certain,least tired gray worse selfish last,little ” “ much,young happy first long “ white red best sad early electronic cheerful second satisfied hot human real interested wish daily,young happy first best early cheerful satisfied hot human real interested N,sad,long “ white red electronic second wish daily,good old many little hard pleasant ’ next better splendid funny usual short easy right fresh open it. heavy sick,Good pleasant splendid funny easy fresh open better right,old hard usual short heavy sick,many little ’ next it.,’ ‘ last pretty afraid whole lovely impossible wrong proper precious fair high safe perfect next elegant private free motherly,,,’ ‘ last pretty afraid whole lovely impossible wrong proper precious fair high safe perfect next elegant private free motherly,poor best nice “ ready fine several little black true grateful brown green right friendly rosy sudden secret wild regular,’ little great new ” old dear quiet bad small better sweet glad busy blue strong dreadful anxious comfortable proud
The House of the Seven Gables,Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/77.txt.utf-8,class bias,The cursed family dynasty and their once-grand ancestral home become metaphors for the decline of the old social order and the rise of a new class consciousness.,poor little first certain less heavy gray dark gentle public aware past easy —the elderly difficult single genuine eminent important,first certain gentle aware easy genuine eminent important,poor little gray dark elderly difficult,less heavy public past —the single,good many new present true human stern real fair second “ vast late public powerful modern rusty slight ancestral melancholy,good many new true human real fair powerful modern ancestral present,stern rusty,second “ vast late public slight melancholy,old whole better long full natural open original quiet electronic white high ordinary wrong native common cheerful various low latter,Better full natural open original quiet high cheerful,ordinary wrong low,old whole long electronic white native common various latter,little “ dead human dear ancient spiritual strong hereditary singular several evil venerable longer dismal different visible apt similar oaken,,,little “ dead human dear ancient spiritual strong hereditary singular several evil venerable longer dismal different visible apt similar oaken,” much old black small last least best many wild early pleasant deep familiar broad short conscious delicate sure private,great young strange ’ rich next happy secret large remarkable beautiful moral fresh sad maiden possible personal unfortunate sunny greater
Invisible Man,Ralph Ellison,https://www.gutenberg.org/ebooks/61771.txt.utf-8,racial bias,The experiences of an African American man navigating a society blinded by racial prejudice highlight the struggle for identity against the invisibility imposed by systemic racism.,personal full conscious perfect whole organic primitive holy light eternal historical divine best worth dead concrete solemn mystical impossible legal,personal full conscious perfect whole organic holy light eternal historical divine best worth concrete mystical legal,primitive dead solemn impossible,#N/A,easy complete common least historic moral central capricious conjunct single psychological applicable Christian loftier invisible metaphysical subjective hard small beautiful,easy complete historical moral central capricious conjunct psychological metaphysical subjective beautiful,common least invisible hard small,historic single applicable Christian loftier,human “ new many lower infinite natural elemental much great religious supreme abstract original modern permanent deepest derivative ancient unto,Human infinite natural elemental religious supreme great modern permanent abstract original deepest ancient,Lower derivative,“ new many much unto,inward old first little free social real highest foreign immediate black finite second lofty loftiest contrary last double potential precious,,,inward old first little free social real highest foreign immediate black finite second lofty loftiest contrary last double potential precious,physical entire ” deeper main possible ultimate mere thy glorious low vicarious definite poor untouched paragraph opposite native likely tenable,spiritual electronic actual true higher great good final certain universal normal daily different utilitarian vital familiar ordinary intangible simple unique
Native Son,Richard Wright,https://www.gutenberg.org/ebooks/61262.txt.utf-8,racial bias,"The racial dynamics and injustices of 1930s America are portrayed through the life of an African American man, whose environment and upbringing in a racially biased society lead him to a tragic end.",good old many late curious white likely poor remarkable thin American middle-aged Good empty necessary best public German sensational,good curious remarkable necessary best sensational,old late poor thin middle-aged empty,many white likely American public German,“ clear dead old sure real hard least local interested impossible well-known slight grave obvious once. sharp neat Western front,clear sure real interested well-known obvious neat front,dead old hard least impossible grave sharp,“ local slight once. Western,small much first usual full certain right large safe grey French following various ordinary perfect considerable strange bad light common,First certain safe perfect considerable,Small gray ordinary strange common bad,much usual full right large grey French following various light,young flat second ‘ black sure long several wrong incredible general minor fatal anxious detective suspicious positive so. charming shadowy,,,young flat second ‘ black sure long several wrong incredible general minor fatal anxious detective suspicious positive so. charming shadowy,“ ” little able true possible big open it. particular better _mon different present new low short pleasant unusual _Eh,” ’ last great next whole Italian young main serious easy tall fair afraid • recent latter big quick Egyptian
The Man Who Would Be King,Rudyard Kipling,https://www.gutenberg.org/ebooks/8147.txt.utf-8,racial/class bias,"The story showcases racial and class biases by following two British adventurers who exploit the local population and their perceived superiority to establish a small kingdom in Afghanistan, ultimately undone by their ignorance of local customs and overestimation of their invulnerability.",little last fair poor regular red free right easy native second hard whole fifty derivative open biggest daily worthy to-day,free right easy native home open biggest worthy,last fair poor regular second hard derivative,little red whole fifty daily to-day,old black white certain mountainous pleased cold dark forty particular golden small roadside handsome petty best individual blasted greasy loud,certain pleased particular golden handsome best individual loud,old cold dark small petty blasted greasy,black white mountainous forty roadside,big great dead ten hot twenty afraid applicable amazing Next worth bent possible paragraph wrong urgent active General half current,great possible active applicable amazing worth,dead afraid wrong urgent,big ten hot twenty Next bent paragraph General half current,electronic full good hundred new much English flat many sorry “ old hand-made copyright bad widest tired legal additional light,,,electronic full good hundred new much English flat many sorry “ old hand-made copyright bad widest tired legal additional light,little next red small like special defective true available 'She registered settled deep important long smaller close missionary's-pass-hunting attached manifold,first mad sure quiet better real clear public funny official whiskey considerable twenty-four red-haired strange asleep Indian eye-teeth blank smooth
Kim,Rudyard Kipling,https://www.gutenberg.org/ebooks/35555.txt.utf-8,racial/class bias,"Set against the backdrop of British India, this novel explores racial and class biases through the eyes of a young Irish boy living as a native, highlighting the complexities of identity and the rigid social structures of colonialism.",white black green thin broad mad happy flat clear nearest lean third interesting busy Great Many fifteen Russian worst enough,happy clear interesting busy great enough,thin mad flat worst,white black green broad nearest lean third Many fifteen Russian,good many young new long small holy much high heavy big white dead ten tall ready strange deep wonderful fearful,good young new holy high big tall ready deep wonderful,small dead strange fearful,many long much heavy white ten,little old thou first true sure better evil fat right low cold Red worth mere yellow brown wrong rosary clean,True sure first better right clean,old evil fat little wrong,thou low cold Red worth mere yellow brown rosary,native least certain bad strong second hundred thee large hard less empty fair terrible usual present courteous Indian upper wild,,,native least certain bad strong second hundred thee large hard less empty fair terrible usual present courteous Indian upper wild,thy full last old English electronic free angry hot common short curious least foolish beautiful easy past huge dark whole,great next sick 'The poor red best open wilt afraid soft black fine pleased stupid ye ignorant silent perfect private
Main Street,Sinclair Lewis,https://www.gutenberg.org/ebooks/543.txt.utf-8,class bias,"The critique of small-town America showcases class prejudice, as the protagonist grapples with the stifling social norms and intellectual mediocrity of provincial life.",good sure fine better high free yellow big cold dear happy warm several familiar heavy artistic ready honest cheerful wide,good sure fine better high high free big dear happy warm familiar artistic ready honest cheerful,cold,yellow several heavy wide,old last great young second best awful green open clear thick easy enough human ancient Chinese interesting common slow amiable,young best open clear easy enough human ancient interesting amiable great,old last slow awful,second green thick Chinese common,“ good right first hard least hot clean dead horrible soft cheap friendly lovely polite perfect sweet back dry professional,good right first Clean soft friendly lovely polite perfect sweet professional ,Hard dead horrible cheap dry,“ least hot back,small black young first full blue beautiful brown strong fresh sick interested dramatic regular late flat able busy silent pleasant,,,small black young first full blue beautiful brown strong fresh sick interested dramatic regular late flat able busy silent pleasant,” whole long red bad real gray afraid important electronic smart empty low serious bright public wrong tired wooden impersonal,” new much old many nice little white next large poor thin glad big “ American social certain decent ten
Babbitt,Sinclair Lewis,https://www.gutenberg.org/ebooks/1156.txt.utf-8,class bias,"The satire of American middle-class life reveals the hollow pursuit of material wealth and social status, highlighting the emptiness behind the middle-class facade.",“ first black ‘ certain free full public less late modern broad clean hundred true pretty respectable interesting vast blue,first certain free full modern broad clean true pretty respectable interesting vast,less late,“ black ‘ public hundred blue,nice last big long Good many great thin important hot private silent open darn yellow low smart dear rotten pleased,nice big good great important hot private open smart dear pleased,last silent darn low rotten,long many thin yellow,old good “ little much best real great large white small gray real-estate ten to-night green familiar ready sick interested,Good best real great ready interested familiar,Old little sick,“ much large white small gray real-estate ten to-night green,’ glad real social electronic regular early electric _Advocate-Times_ rich American heavy honest pale natural wrong largest wide prosperous wet,,,’ glad real social electronic regular early electric _Advocate-Times_ rich American heavy honest pale natural wrong largest wide prosperous wet,young ’ whole bad good sure able to-day hard soft fresh practical pleasant warm tired fifteen live small nervous necessary,’ ” new little next poor fine right fellow old high better decent second red liberal happy quiet awful least
Far from the Madding Crowd,Thomas Hardy,https://www.gutenberg.org/ebooks/107.txt.utf-8,gender bias,"The gender expectations and societal limitations of rural Victorian society are explored as the female protagonist navigates love, independence, and social reputation.",great last ” less low sure electronic deep likely proper ready unconscious clear ordinary to-day third upper hundred distinct loose,great sure deep proper ready clear upper distinct,last less low unconscious ordinary,” electronic likely to-day third hundred loose,long true dead able necessary right greater quiet slow ye latter fair regular whole wide handsome alive special unusual sufficient,true able necessary write greater fare regular whole handsome alive of special sufficient right fair,dead quiet slow,long ye latter wide unusual,’ “ old much poor young bad better present several light mere least beautiful dreadful natural free soft fine ten,better present light beautiful natural free soft young,Old poor bad dreadful,’ “ much several mere least fine ten,“ good short usual second common open late dark general previous serious close whole green slight happy worse dry opposite,,,“ good short usual second common open late dark general previous serious close whole green slight happy worse dry opposite,large young next red heavy best wrong single strong silent wild ‘ particular hard it. lower real sad now. different,” ’ little first small many new full high strange visible white black possible to-night certain terrible steady miserable past
The Woman in White,Wilkie Collins,https://www.gutenberg.org/ebooks/583.txt.utf-8,gender bias,"The sensation novel delves into issues of identity and insanity, with the female protagonist's victimization reflecting the gender biases of Victorian society.",“ old possible ’ sudden anxious private future true high worst bad fresh slightest electronic ten narrative familiar medical bright,possible future true high fresh familiar bright,old anxious worst bad slightest,“ ’ sudden private electronic ten narrative medical,” great long strange personal wrong extraordinary ’ ready it. foreign early alive dreadful Italian less weary friendly beautiful conscious,great personal extraordinary ready early alive friendly beautiful conscious,strange wrong foreign dreadful less weary,” long ’ it. Italian,new first past happy full easy low safe former sad glad common weak nearest to-day next likely sorry fair Lady,new first happy easy safe glad Lady fair,low common weak sorry,past full former sad nearest to-day next likely,little ’ certain better many dead poor hard strong small short third afraid dark impossible light terrible silent customary due,,,little ’ certain better many dead poor hard strong small short third afraid dark impossible light terrible silent customary due,next Marian necessary quiet least sure large white right important innocent false useless able miserable English empty afraid excellent nervous,last ” little first “ good second much best serious present white whole young late open usual poor dear secret
My Antonia,Willa Cather,https://www.gutenberg.org/ebooks/242.txt.utf-8,class and racial bias,"The immigrant experience in the American West is depicted, highlighting the struggles against class prejudice and the nuanced racial dynamics between settlers and native populations.",long new many hard full better great brown cold dark clear tall comfortable quick real funny important north certain wonderful,new full better great clear tall comfortable quick real funny important certain wonderful,hard cold dark,long many brown north,big last right heavy blue rich several yellow quiet different able green pleasant free pleased stronger dry small tired empty,right rich able pleasant free pleased stronger,last heavy blue quiet different dry small tired empty,big several yellow green,’ little old good young white warm strong next hot deep wild early dead awful bright fresh wooden front back,Good young warm strong hot deep early bright fresh front,old wild dead awful wooden,’ little white next back,much ’ poor bad fine best wide low light large dear flat busy hundred beautiful grey wrong like excited German,,,much ’ poor bad fine best wide low light large dear flat busy hundred beautiful grey wrong like excited German,open older electronic nice high soft little Russian crazy “ fat second natural Ántonia friendly enough corral curly simple possible,‘ first red great black short sure glad Norwegian easy afraid rough next Bohemian happy clean sick ready frozen interested
O Pioneers!,Willa Cather,https://www.gutenberg.org/ebooks/24.txt.utf-8,class bias,"The novel examines the challenges of pioneering life in the American West, particularly focusing on how class distinctions impact the relationships and successes of the characters.",’ little good ” new first full red dark many right better human awful Norwegian light wet least worse worth,good new first full right better human light worth,dark awful least worse,’ little ” red many Norwegian wet,fine different cold low sharp tall gray hot late younger busy wrong crazy single strange intelligent wide lower us. to-morrow,fine sharp hot younger busy intelligent,cold low late wrong crazy strange lower,different tall gray single wide us. to-morrow,big yellow brown afraid best dead empty much willing rough fresh pretty apt perfect now. shaggy physical twenty strong close,Willing fresh pretty perfect physical strong best,Rough afraid dead empty,big yellow brown much apt now. shaggy twenty close,“ much white wild hard electronic French heavy free short pale older deep sick beautiful glad handsome quiet nice tired,,,“ much white wild hard electronic French heavy free short pale older deep sick beautiful glad handsome quiet nice tired,young last next black high rich white Swedish blue proud ” easy wooden real early personal French angry green youngest,old ” long ’ great many poor sure clear bad strong open Bohemian happy second warm thin soft stable comfortable
